50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
50 50 50 50 50 85  5 89  5  1  1  w  1  1  1  4 93 93 50 50 50 50 50 50 50 
50 50 50 50 50  3  5  5  5  1  1  w  1  1  1  4  4  4 50 50 50 50 50 50 50 
50 50 50 50 50  5  5 18  5  6  2  2  2  2 95  4 97  4 50 50 50 50 50 50 50 
50 50 50 50 50  5  5  5  5  6 17  2  2  2  2  4  4  4 50 50 50 50 50 50 50 
50 50 50 50 50 19  5  5 19  6  6 17  2  2  2  2  2  2 13  6  6 50 50 50 50 
50 50 50 50 50  0  0  0  0  6  6  6  6  6  6  2  2  2  2 50  6 50 50 50 50 
50 50 50 50 50  0 94  0  0  6 87  3 85  3  6  2  2  2 12  6  6 50 50 50 50 
50 50 50 50 50  0 94  0 98  6  3  3  3  3  6  2  2 50 50 50 50 50 50 50 50 
50 50 50 50 50  0  0  0  0  2  2  2  2  2  2  2  2 50 50 50 50 50 50 50 50 
50 50 50 50 50  0  0  0  0  2  2  2  2  2  2  2  2 50 50 50 50 50 50 50 50 
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
